time_s,drag_force_negative,drag_force_magnitude
0.0,-1.708336,1.708336
0.01,-1.294795,1.294795
0.02,-1.220838,1.220838
0.03,-1.268389,1.268389
0.04,-1.363167,1.363167
0.05,-1.426988,1.426988
0.06,-1.46262,1.46262
0.07,-1.486386,1.486386
0.08,-1.500208,1.500208
0.09,-1.509353,1.509353
0.1,-1.51694,1.51694
0.11,-1.524087,1.524087
0.12,-1.530972,1.530972
0.13,-1.537662,1.537662
0.14,-1.544311,1.544311
0.15,-1.550771,1.550771
0.16,-1.557019,1.557019
0.17,-1.563058,1.563058
0.18,-1.568322,1.568322
0.19,-1.574167,1.574167
0.2,-1.579962,1.579962
0.21,-1.585008,1.585008
0.22,-1.590035,1.590035
0.23,-1.594785,1.594785
0.24,-1.599273,1.599273
0.25,-1.603462,1.603462
0.26,-1.607747,1.607747
0.27,-1.611802,1.611802
0.28,-1.615875,1.615875
0.29,-1.620115,1.620115
0.3,-1.624708,1.624708
0.31,-1.629332,1.629332
0.32,-1.634018,1.634018
0.33,-1.638828,1.638828
0.34,-1.643957,1.643957
0.35,-1.649076,1.649076
0.36,-1.654699,1.654699
0.37,-1.660658,1.660658
0.38,-1.666901,1.666901
0.39,-1.673669,1.673669
0.4,-1.681007,1.681007
0.41,-1.68841,1.68841
0.42,-1.696036,1.696036
0.43,-1.703678,1.703678
0.44,-1.711201,1.711201
0.45,-1.718642,1.718642
0.46,-1.725998,1.725998
0.47,-1.733355,1.733355
0.48,-1.740734,1.740734
0.49,-1.748,1.748
0.5,-1.755133,1.755133
0.51,-1.762153,1.762153
0.52,-1.768975,1.768975
0.53,-1.775636,1.775636
0.54,-1.782152,1.782152
0.55,-1.788412,1.788412
0.56,-1.79441,1.79441
0.57,-1.800202,1.800202
0.58,-1.805724,1.805724
0.59,-1.810998,1.810998
0.6,-1.816012,1.816012
0.61,-1.820758,1.820758
0.62,-1.825204,1.825204
0.63,-1.829387,1.829387
0.64,-1.833525,1.833525
0.65,-1.837177,1.837177
0.66,-1.840518,1.840518
0.67,-1.843488,1.843488
0.68,-1.84611,1.84611
0.69,-1.848383,1.848383
0.7,-1.850368,1.850368
0.71,-1.852329,1.852329
0.72,-1.853631,1.853631
0.73,-1.854656,1.854656
0.74,-1.855204,1.855204
0.75,-1.855314,1.855314
0.76,-1.855219,1.855219
0.77,-1.854691,1.854691
0.78,-1.853959,1.853959
0.79,-1.852931,1.852931
0.8,-1.851965,1.851965
0.81,-1.8506,1.8506
0.82,-1.849058,1.849058
0.83,-1.847248,1.847248
0.84,-1.845093,1.845093
0.85,-1.842672,1.842672
0.86,-1.840117,1.840117
0.87,-1.837413,1.837413
0.88,-1.83458,1.83458
0.89,-1.831659,1.831659
0.9,-1.828679,1.828679
0.91,-1.825724,1.825724
0.92,-1.822695,1.822695
0.93,-1.819559,1.819559
0.94,-1.816371,1.816371
0.95,-1.813101,1.813101
0.96,-1.80985,1.80985
0.97,-1.806604,1.806604
0.98,-1.803399,1.803399
0.99,-1.800284,1.800284
1.0,-1.797217,1.797217
1.01,-1.794204,1.794204
1.02,-1.791303,1.791303
1.03,-1.788564,1.788564
1.04,-1.785939,1.785939
1.05,-1.78341,1.78341
1.06,-1.781012,1.781012
1.07,-1.778769,1.778769
1.08,-1.776715,1.776715
1.09,-1.774734,1.774734
1.1,-1.772875,1.772875
1.11,-1.771088,1.771088
1.12,-1.769452,1.769452
1.13,-1.767948,1.767948
1.14,-1.766612,1.766612
1.15,-1.765416,1.765416
1.16,-1.764334,1.764334
1.17,-1.763284,1.763284
1.18,-1.762284,1.762284
1.19,-1.761376,1.761376
1.2,-1.760587,1.760587
1.21,-1.759906,1.759906
1.22,-1.759353,1.759353
1.23,-1.758943,1.758943
1.24,-1.758662,1.758662
1.25,-1.758386,1.758386
1.26,-1.75814,1.75814
1.27,-1.757943,1.757943
1.28,-1.757772,1.757772
1.29,-1.757557,1.757557
1.3,-1.757364,1.757364
1.31,-1.757176,1.757176
1.32,-1.757088,1.757088
1.33,-1.757041,1.757041
1.34,-1.757013,1.757013
1.35,-1.757019,1.757019
1.36,-1.757039,1.757039
1.37,-1.757066,1.757066
1.38,-1.75716,1.75716
1.39,-1.757218,1.757218
1.4,-1.757243,1.757243
1.41,-1.757252,1.757252
1.42,-1.757254,1.757254
1.43,-1.757239,1.757239
1.44,-1.75723,1.75723
1.45,-1.757209,1.757209
1.46,-1.757171,1.757171
1.47,-1.757147,1.757147
1.48,-1.757141,1.757141
1.49,-1.75719,1.75719
1.5,-1.757285,1.757285
1.51,-1.757375,1.757375
1.52,-1.757419,1.757419
1.53,-1.757419,1.757419
1.54,-1.757428,1.757428
1.55,-1.757374,1.757374
1.56,-1.757344,1.757344
1.57,-1.757308,1.757308
1.58,-1.757313,1.757313
1.59,-1.757315,1.757315
1.6,-1.757317,1.757317
1.61,-1.757344,1.757344
1.62,-1.75744,1.75744
1.63,-1.757518,1.757518
1.64,-1.757579,1.757579
1.65,-1.757641,1.757641
1.66,-1.757728,1.757728
1.67,-1.75783,1.75783
1.68,-1.757895,1.757895
1.69,-1.75796,1.75796
1.7,-1.757999,1.757999
1.71,-1.758003,1.758003
1.72,-1.758022,1.758022
1.73,-1.757986,1.757986
1.74,-1.757962,1.757962
1.75,-1.757958,1.757958
1.76,-1.757951,1.757951
1.77,-1.757939,1.757939
1.78,-1.757913,1.757913
1.79,-1.757849,1.757849
1.8,-1.757762,1.757762
1.81,-1.757597,1.757597
1.82,-1.757409,1.757409
1.83,-1.757188,1.757188
1.84,-1.756984,1.756984
1.85,-1.756748,1.756748
1.86,-1.756578,1.756578
1.87,-1.756378,1.756378
1.88,-1.756134,1.756134
1.89,-1.755894,1.755894
1.9,-1.755656,1.755656
1.91,-1.755377,1.755377
1.92,-1.755026,1.755026
1.93,-1.754628,1.754628
1.94,-1.754221,1.754221
1.95,-1.753829,1.753829
1.96,-1.753502,1.753502
1.97,-1.753149,1.753149
1.98,-1.752781,1.752781
1.99,-1.752336,1.752336
2.0,-1.751872,1.751872
2.01,-1.751372,1.751372
2.02,-1.750855,1.750855
2.03,-1.750335,1.750335
2.04,-1.749861,1.749861
2.05,-1.749362,1.749362
2.06,-1.748886,1.748886
2.07,-1.748408,1.748408
2.08,-1.747986,1.747986
2.09,-1.747585,1.747585
2.1,-1.747182,1.747182
2.11,-1.74674,1.74674
2.12,-1.74633,1.74633
2.13,-1.745912,1.745912
2.14,-1.745444,1.745444
2.15,-1.744951,1.744951
2.16,-1.744475,1.744475
2.17,-1.743994,1.743994
2.18,-1.743524,1.743524
2.19,-1.743089,1.743089
2.2,-1.742653,1.742653
2.21,-1.742228,1.742228
2.22,-1.741816,1.741816
2.23,-1.741403,1.741403
2.24,-1.74103,1.74103
2.25,-1.740676,1.740676
2.26,-1.74035,1.74035
2.27,-1.740021,1.740021
2.28,-1.739698,1.739698
2.29,-1.739363,1.739363
2.3,-1.739064,1.739064
2.31,-1.738753,1.738753
2.32,-1.738457,1.738457
2.33,-1.73818,1.73818
2.34,-1.737959,1.737959
2.35,-1.737759,1.737759
2.36,-1.737566,1.737566
2.37,-1.737353,1.737353
2.38,-1.737162,1.737162
2.39,-1.736972,1.736972
2.4,-1.736804,1.736804
2.41,-1.736621,1.736621
2.42,-1.736424,1.736424
2.43,-1.736209,1.736209
2.44,-1.736008,1.736008
2.45,-1.735821,1.735821
2.46,-1.735636,1.735636
2.47,-1.735462,1.735462
2.48,-1.735319,1.735319
2.49,-1.735198,1.735198
2.5,-1.735078,1.735078
2.51,-1.734971,1.734971
2.52,-1.734828,1.734828
2.53,-1.734658,1.734658
2.54,-1.734485,1.734485
2.55,-1.734285,1.734285
2.56,-1.734088,1.734088
2.57,-1.733884,1.733884
2.58,-1.733667,1.733667
2.59,-1.733459,1.733459
2.6,-1.733275,1.733275
2.61,-1.733101,1.733101
2.62,-1.732881,1.732881
2.63,-1.732667,1.732667
2.64,-1.732484,1.732484
2.65,-1.732298,1.732298
2.66,-1.732125,1.732125
2.67,-1.73194,1.73194
2.68,-1.731781,1.731781
2.69,-1.731571,1.731571
2.7,-1.731372,1.731372
2.71,-1.731143,1.731143
2.72,-1.730927,1.730927
2.73,-1.730741,1.730741
2.74,-1.730649,1.730649
2.75,-1.730619,1.730619
2.76,-1.7306,1.7306
2.77,-1.73057,1.73057
2.78,-1.730505,1.730505
2.79,-1.730447,1.730447
2.8,-1.730439,1.730439
